DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OR,11,561665,281456.0909,229310.8182
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MD,13,324398,299865.7692,279902
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,UT,13,597063.6923,231009.0769,215347.0769
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MS,14,814803.8571,206432.8571,193311.1429
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AL,16,875798.4375,249810.0625,125897.375
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CO,20,1338214.95,248103.25,229497.1
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,SC,20,892762.1,215449.75,204933.95
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,LA,22,878808,228632.7273,189229.5455
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IA,26,745021.5,219498.8462,204669.8462
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WI,28,730148.8571,236985.2857,200903.4286
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AZ,32,607019.1875,230735.4375,176114.75
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NJ,37,1054825.676,237002.7838,206828.2973
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CT,40,777894.9,273447.925,230919.475
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,KY,40,769466.125,204886.025,188623.4
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AR,42,684836.5714,167288.8571,155785.6429
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IN,46,873197.8913,198451.2391,193551.6304
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OK,48,780452.1667,187048.5,171530.8333
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,DC,52,990548.9423,250158.0385,213399.4039
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,GA,53,925161.1698,259451.1321,214179.5472
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NE,55,810547.8909,251351.7455,203158.1818
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WA,55,853640.2,296796.9273,260794.2
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MI,67,727543.7761,248369.9552,230640.4478
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TN,79,902547.9114,209366.1772,193507.8101
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MN,82,875898.9146,270057.2561,241840.7195
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MA,83,866857.4578,304311.3133,280586.6747
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OH,84,946640.3333,248334.0833,218506.5833
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,VA,87,929749.9195,279166.7241,221974.6782
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MO,90,690840.1667,215145.9778,211089.1333
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NC,120,782498.425,239630.55,209044.875
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,PA,120,1350527.058,254622.475,225911.375
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,FL,124,1124514.234,257906.371,218113.9839
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IL,127,1094171.118,273651.8189,255997.7717
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY,158,1062671.854,310155.9747,274359.4494
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TX,211,1054620.976,239398.2891,209874.7156
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CA,222,1831198.829,351416.7883,329469.1396
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,FL,11,614097.6364,126713.2727,113985.2727
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,IL,11,506632.6364,165582.0909,94161.81818
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,CA,12,1044868.167,183167.25,174582.3333
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,TX,13,563945.4615,135240.4615,84586.15385
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,PA,15,775614.3333,147162.8667,132097.4667
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",VT,15,386391.2,204488.3333,122674.2
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MT,27,321077.1482,102839.3704,101408.3704
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SD,30,426091.5,130186.8333,114642.3667
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",RI,34,462632.2941,173867.9706,154968.5882
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NH,39,533834.9487,174378.2821,168085.3333
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",HI,45,659445,257051.6667,190293.9778
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ME,46,559670.6304,213675.6739,170146.087
